SLC5A6,SLC5A6
RGS2,RGS2
SCYL3,SCYL3
TBX2,TBX2
DNAJA3,DNAJA3
DCUN1D4,DCUN1D4
DYRK3,DYRK3
POLG2,POLG2
TRAPPC3,TRAPPC3
TCFL5,TCFL5
CRK,CRK
RBM34,RBM34
ITGB1BP1,ITGB1BP1
ACLY,ACLY
RAD51C,RAD51C
SMC1A,SMC1A
YME1L1,YME1L1
ACAA1,ACAA1
HSPA8,HSPA8
CCNB1,CCNB1
WFS1,WFS1
UBE3B,UBE3B
NPDC1,NPDC1
ALDH7A1,ALDH7A1
NFATC3,NFATC3
PCNA,PCNA
POLR2I,POLR2I
PSMB8,PSMB8
AKAP8L,AKAP8L
PLEKHJ1,PLEKHJ1
HAT1,HAT1
G3BP1,G3BP1
TPD52L2,TPD52L2
PIH1D1,PIH1D1
PRKCQ,PRKCQ
SHB,SHB
UTP14A,UTP14A
TSEN2,TSEN2
SUV39H1,SUV39H1
LYPLA1,LYPLA1
BIRC2,BIRC2
MAP2K5,MAP2K5
PUF60,PUF60
DHRS7,DHRS7
ARID5B,ARID5B
PAK1,PAK1
CDC42,CDC42
IGHMBP2,IGHMBP2
ADO,ADO
TCTN1,TCTN1
AKR7A2,AKR7A2
PPP2R5E,PPP2R5E
LAMA3,LAMA3
CCNE2,CCNE2
FEZ2,FEZ2
IKBKAP,ELP1
SGCB,SGCB
ENOPH1,ENOPH1
CNOT4,CNOT4
SNAP25,SNAP25
JMJD6,JMJD6
SLC35F2,SLC35F2
ANO10,ANO10
STUB1,STUB1
PGAM1,PGAM1
BAD,BAD
PSMD10,PSMD10
RAB11FIP2,RAB11FIP2
FPGS,FPGS
RNH1,RNH1
ATG3,ATG3
NCK1,NCK1
CFLAR,CFLAR
HEATR1,HEATR1
WDR7,WDR7
AKAP8,AKAP8
SLC1A4,SLC1A4
GRWD1,GRWD1
STAT1,STAT1
FOXJ3,FOXJ3
MTERFD1,MTERF3
CHIC2,CHIC2
USP7,USP7
NOSIP,NOSIP
DLD,DLD
IDE,IDE
CD40,CD40
PRPF4,PRPF4
MELK,MELK
DAXX,DAXX
SMAD3,SMAD3
OXA1L,OXA1L
SNX7,SNX7
CDCA4,CDCA4
TBC1D9B,TBC1D9B
CDC20,CDC20
NARFL,CIAO3
DDX42,DDX42
IKBKE,IKBKE
CCL2,CCL2
WDTC1,WDTC1
PLSCR3,PLSCR3
